id,question
1,How does Amazon ensure scalability during peak events like Prime Day?
2,Explain the working of Amazon’s recommendation algorithm.
3,How does Amazon optimize delivery routes for efficiency?
4,Describe how Amazon Web Services handles large-scale data.
5,What is Amazon’s approach to customer obsession?
6,Explain Amazon’s use of machine learning in demand forecasting.
7,How does Amazon maintain high availability for its e-commerce platform?
8,How does Amazon use automation in fulfillment centres?
9,Describe cloud security practices in AWS.
10,What metrics matter for a fulfillment center?
